type	time	src	dst	parent
0	0.0034877	61	61	-1
0	0.0120547	79	79	-1
0	0.0331852	57	57	-1
0	0.0404615	55	55	-1
0	0.0566416	58	58	-1
0	0.10267	63	63	-1
0	0.129414	3	3	-1
0	0.168912	84	84	-1
0	0.170287	45	45	-1
0	0.182509	18	18	-1
0	0.188995	70	70	-1
0	0.216943	74	74	-1
0	0.269567	32	32	-1
0	0.27145	60	60	-1
0	0.272057	77	77	-1
0	0.279462	40	40	-1
0	0.355467	77	77	-1
0	0.356025	72	72	-1
0	0.376684	43	43	-1
0	0.389326	45	45	-1
0	0.390911	58	58	-1
0	0.393927	60	60	-1
0	0.402389	78	78	-1
0	0.415851	76	76	-1
0	0.490915	97	97	-1
0	0.493878	57	57	-1
0	0.510564	11	11	-1
0	0.540454	24	24	-1
0	0.553439	79	79	-1
0	0.55362	39	39	-1
0	0.579787	31	31	-1
0	0.594937	47	47	-1
0	0.615172	52	52	-1
0	0.662135	24	24	-1
0	0.749702	54	54	-1
0	0.751713	79	79	-1
0	0.756514	31	31	-1
0	0.760524	59	59	-1
0	0.772491	91	91	-1
0	0.780731	29	29	-1
0	0.782899	91	91	-1
0	0.802205	60	60	-1
0	0.8175	2	2	-1
0	0.819291	67	67	-1
0	0.822193	63	63	-1
0	0.824623	11	11	-1
0	0.866508	66	66	-1
0	0.909743	50	50	-1
0	0.912979	12	12	-1
0	0.926559	44	44	-1
0	0.937656	31	31	-1
0	0.946401	28	28	-1
0	0.960467	35	35	-1
0	0.962259	35	35	-1
0	0.974502	32	32	-1
0	1.02812	81	81	-1
0	1.09201	87	87	-1
0	1.12991	59	59	-1
0	1.13925	10	10	-1
0	1.16194	13	13	-1
0	1.17679	23	23	-1
0	1.18056	83	83	-1
0	1.18367	27	27	-1
0	1.23881	42	42	-1
0	1.25689	90	90	-1
0	1.31756	6	6	-1
0	1.32918	66	66	-1
0	1.35266	95	95	-1
0	1.35393	77	77	-1
0	1.35841	0	0	-1
0	1.35919	98	98	-1
0	1.36436	40	40	-1
0	1.36487	81	81	-1
0	1.38652	49	49	-1
0	1.40048	16	16	-1
0	1.41186	81	81	-1
0	1.43835	35	35	-1
0	1.53289	37	37	-1
0	1.54823	42	42	-1
0	1.58488	81	81	-1
0	1.58507	39	39	-1
0	1.61675	55	55	-1
0	1.65125	79	79	-1
0	1.65181	63	63	-1
0	1.66204	32	32	-1
0	1.71334	47	47	-1
0	1.71961	2	2	-1
0	1.74153	96	96	-1
0	1.84631	77	77	-1
0	1.85359	96	96	-1
0	1.86663	25	25	-1
0	1.87088	23	23	-1
0	1.96858	24	24	-1
0	1.98639	0	0	-1
0	2.02095	6	6	-1
0	2.02862	80	80	-1
0	2.04981	8	8	-1
0	2.09957	24	24	-1
0	2.18238	49	49	-1
0	2.21354	20	20	-1
0	2.22155	16	16	-1
0	2.23574	80	80	-1
0	2.26463	2	2	-1
0	2.27973	59	59	-1
0	2.28055	61	61	-1
0	2.28207	58	58	-1
0	2.3031	88	88	-1
0	2.30739	30	30	-1
0	2.30994	57	57	-1
0	2.32072	66	66	-1
0	2.32124	18	18	-1
0	2.33006	27	27	-1
0	2.33225	35	35	-1
0	2.34634	3	3	-1
0	2.35078	43	43	-1
0	2.37186	19	19	-1
0	2.38469	67	67	-1
0	2.38611	4	4	-1
0	2.42762	98	98	-1
0	2.53214	40	40	-1
0	2.54649	10	10	-1
0	2.59872	24	24	-1
0	2.62055	71	71	-1
0	2.62263	76	76	-1
0	2.6656	8	8	-1
0	2.71686	20	20	-1
0	2.72333	93	93	-1
2	2.73334	60	6
0	2.74445	76	76	-1
0	2.75538	72	72	-1
0	2.84086	75	75	-1
0	2.87005	11	11	-1
0	2.87282	53	53	-1
0	2.88958	41	41	-1
0	2.91323	15	15	-1
0	2.92117	20	20	-1
0	2.92797	65	65	-1
0	2.95902	89	89	-1
0	2.96007	97	97	-1
0	2.96088	27	27	-1
0	3.01065	25	25	-1
0	3.03148	69	69	-1
0	3.0435	85	85	-1
0	3.04809	4	4	-1
0	3.0606	30	30	-1
0	3.08338	90	90	-1
0	3.19075	61	61	-1
0	3.19411	65	65	-1
0	3.20629	0	0	-1
0	3.21794	19	19	-1
0	3.28575	73	73	-1
0	3.32597	74	74	-1
0	3.33285	56	56	-1
0	3.38787	33	33	-1
0	3.40226	48	48	-1
0	3.41129	24	24	-1
0	3.42994	1	1	-1
0	3.43422	78	78	-1
0	3.48668	82	82	-1
0	3.50108	44	44	-1
0	3.54739	66	66	-1
0	3.57515	86	86	-1
0	3.57795	16	16	-1
0	3.58731	6	6	-1
0	3.6113	21	21	-1
0	3.655	43	43	-1
0	3.67797	95	95	-1
0	3.67922	25	25	-1
0	3.68183	7	7	-1
0	3.69663	57	57	-1
0	3.72602	12	12	-1
0	3.72849	43	43	-1
0	3.73436	17	17	-1
0	3.78096	74	74	-1
0	3.79492	93	93	-1
0	3.81308	60	60	-1
0	3.81802	15	15	-1
0	3.83326	42	42	-1
0	3.87307	48	48	-1
0	3.87392	96	96	-1
0	3.89752	89	89	-1
0	3.89819	86	86	-1
0	3.94202	25	25	-1
0	3.99819	46	46	-1
0	4.00369	28	28	-1
0	4.01883	89	89	-1
0	4.04519	1	1	-1
0	4.06907	98	98	-1
0	4.08242	41	41	-1
0	4.09316	76	76	-1
0	4.09471	71	71	-1
0	4.10328	61	61	-1
0	4.12005	74	74	-1
0	4.15391	65	65	-1
0	4.21265	17	17	-1
0	4.22658	47	47	-1
0	4.24694	86	86	-1
0	4.28507	6	6	-1
2	4.28921	14	87
0	4.30599	84	84	-1
0	4.33599	83	83	-1
0	4.37542	65	65	-1
0	4.41587	21	21	-1
0	4.42466	88	88	-1
2	4.46921	57	48
0	4.50915	89	89	-1
0	4.51033	77	77	-1
0	4.52827	5	5	-1
0	4.52837	20	20	-1
0	4.54947	4	4	-1
0	4.58293	39	39	-1
0	4.59134	41	41	-1
0	4.61156	32	32	-1
0	4.62403	37	37	-1
0	4.62548	55	55	-1
0	4.62585	98	98	-1
0	4.65649	65	65	-1
0	4.67622	2	2	-1
0	4.73243	11	11	-1
2	4.74153	37	94
0	4.74269	52	52	-1
0	4.76538	82	82	-1
0	4.80791	64	64	-1
0	4.84797	84	84	-1
0	4.86937	55	55	-1
0	4.86942	3	3	-1
0	4.88111	15	15	-1
0	4.89547	36	36	-1
0	4.89948	75	75	-1
0	4.90169	53	53	-1
0	4.91344	14	14	-1
0	4.9402	90	90	-1
0	4.99462	22	22	-1
0	5.0098	70	70	-1
0	5.03368	10	10	-1
0	5.03644	68	68	-1
0	5.04133	26	26	-1
0	5.09784	52	52	-1
0	5.10392	92	92	-1
0	5.10561	95	95	-1
0	5.25062	96	96	-1
0	5.30653	1	1	-1
0	5.31313	52	52	-1
0	5.33139	38	38	-1
0	5.37418	56	56	-1
0	5.38124	98	98	-1
0	5.42403	87	87	-1
0	5.42529	83	83	-1
0	5.45647	7	7	-1
0	5.46514	51	51	-1
0	5.46544	4	4	-1
0	5.47025	80	80	-1
0	5.49416	4	4	-1
0	5.49898	22	22	-1
0	5.51138	15	15	-1
0	5.51649	35	35	-1
0	5.55025	13	13	-1
0	5.57135	62	62	-1
0	5.57456	96	96	-1
0	5.59224	35	35	-1
0	5.61949	4	4	-1
0	5.65493	33	33	-1
0	5.70493	39	39	-1
0	5.72027	10	10	-1
0	5.72056	17	17	-1
0	5.72086	32	32	-1
0	5.7702	17	17	-1
0	5.7738	83	83	-1
0	5.80494	74	74	-1
0	5.82095	28	28	-1
0	5.88513	2	2	-1
0	5.93421	58	58	-1
0	5.94293	10	10	-1
0	5.97483	85	85	-1
0	5.98856	43	43	-1
0	6.01652	47	47	-1
0	6.01659	39	39	-1
0	6.0266	62	62	-1
0	6.03823	45	45	-1
0	6.05276	61	61	-1
0	6.07221	8	8	-1
0	6.09349	17	17	-1
0	6.1059	60	6	175
0	6.12389	70	70	-1
0	6.13904	31	31	-1
0	6.14719	40	40	-1
0	6.17291	41	41	-1
0	6.20675	42	42	-1
0	6.22948	3	3	-1
0	6.24419	51	51	-1
0	6.24617	83	83	-1
0	6.25551	86	86	-1
0	6.26685	26	26	-1
0	6.27081	70	70	-1
0	6.28633	65	65	-1
0	6.33234	31	31	-1
0	6.34387	16	16	-1
0	6.35368	91	91	-1
0	6.36361	51	51	-1
0	6.36762	92	92	-1
0	6.39035	90	90	-1
0	6.39899	29	29	-1
0	6.41852	78	78	-1
0	6.43983	50	50	-1
0	6.44074	36	36	-1
0	6.44211	99	99	-1
0	6.45749	57	57	-1
0	6.47562	52	52	-1
0	6.47991	21	21	-1
0	6.5428	39	39	-1
0	6.55117	84	84	-1
0	6.55561	8	8	-1
0	6.59851	16	16	-1
0	6.59906	41	41	-1
0	6.65535	28	28	-1
0	6.68557	50	50	-1
0	6.73647	69	69	-1
0	6.75413	82	82	-1
0	6.77377	9	9	-1
0	6.80474	36	36	-1
0	6.81839	86	86	-1
0	6.83694	28	28	-1
0	6.85139	63	63	-1
0	6.86471	36	36	-1
0	6.87225	83	83	-1
0	6.90474	69	69	-1
0	6.90593	0	0	-1
0	6.90751	50	50	-1
0	6.91875	40	40	-1
2	6.97462	22	86
0	7.00877	1	1	-1
0	7.03161	27	27	-1
0	7.04184	37	37	-1
0	7.0482	44	44	-1
0	7.09959	20	20	-1
0	7.10555	25	25	-1
0	7.10695	15	15	-1
0	7.1382	56	56	-1
0	7.14647	76	76	-1
0	7.1873	6	6	-1
0	7.22759	31	31	-1
0	7.24124	5	5	-1
0	7.28511	80	80	-1
0	7.31956	55	55	-1
0	7.33271	91	91	-1
0	7.35462	11	11	-1
0	7.46021	28	28	-1
0	7.46234	52	52	-1
0	7.47824	65	65	-1
0	7.48437	67	67	-1
0	7.50068	88	88	-1
0	7.50326	87	87	-1
0	7.5081	76	76	-1
0	7.54802	22	22	-1
0	7.57192	47	47	-1
0	7.65577	19	19	-1
0	7.68457	97	97	-1
0	7.7165	31	31	-1
0	7.73391	91	91	-1
0	7.73622	29	29	-1
0	7.73766	45	45	-1
0	7.7398	34	34	-1
0	7.74229	53	53	-1
0	7.74862	28	28	-1
0	7.75276	20	20	-1
0	7.77577	43	43	-1
0	7.77669	67	67	-1
0	7.77874	76	76	-1
0	7.78918	60	60	-1
0	7.78935	88	88	-1
0	7.8005	46	46	-1
0	7.80103	18	18	-1
0	7.83594	94	94	-1
2	7.83696	93	48
0	7.85472	25	25	-1
0	7.86337	95	95	-1
0	7.9118	82	82	-1
0	7.91781	36	36	-1
0	7.91807	70	70	-1
0	7.92425	86	86	-1
0	7.9944	1	1	-1
0	8.00211	39	39	-1
0	8.01494	92	92	-1
0	8.01668	81	81	-1
0	8.01961	30	30	-1
0	8.04925	62	62	-1
0	8.05589	68	68	-1
0	8.0591	11	11	-1
0	8.06963	81	81	-1
0	8.0826	59	59	-1
0	8.08688	22	22	-1
0	8.0934	26	26	-1
0	8.11094	39	39	-1
0	8.13748	30	30	-1
0	8.15186	50	50	-1
0	8.15352	18	18	-1
0	8.15497	2	2	-1
0	8.16821	92	92	-1
0	8.17179	34	34	-1
0	8.1757	19	19	-1
0	8.17991	37	37	-1
0	8.18677	98	98	-1
0	8.19461	85	85	-1
0	8.21341	28	28	-1
0	8.29131	79	79	-1
0	8.307	40	40	-1
0	8.32396	3	3	-1
0	8.33953	54	54	-1
0	8.33989	24	24	-1
0	8.34037	85	85	-1
0	8.35259	27	27	-1
0	8.37237	50	50	-1
2	8.3746	54	49
0	8.39631	9	9	-1
0	8.41855	37	94	395
0	8.42028	74	74	-1
0	8.45347	42	42	-1
0	8.523	48	48	-1
0	8.58417	1	1	-1
0	8.62308	67	67	-1
0	8.62598	58	58	-1
0	8.66758	50	50	-1
0	8.68695	38	38	-1
0	8.7134	20	20	-1
0	8.72916	19	19	-1
0	8.74078	67	67	-1
0	8.74537	14	14	-1
0	8.76121	94	94	-1
0	8.78539	86	86	-1
0	8.78675	83	83	-1
0	8.78685	23	23	-1
0	8.81246	1	1	-1
0	8.86223	99	99	-1
0	8.86743	70	70	-1
0	8.89907	82	82	-1
0	8.90328	46	46	-1
0	8.91439	35	35	-1
0	8.92076	23	23	-1
0	8.92723	15	15	-1
0	8.93636	62	62	-1
0	8.94354	81	81	-1
0	8.97544	38	38	-1
0	8.99646	24	24	-1
0	9.00223	27	27	-1
0	9.01837	78	78	-1
0	9.07441	45	45	-1
0	9.10762	46	46	-1
0	9.1618	92	92	-1
0	9.22555	29	29	-1
0	9.24113	46	46	-1
0	9.24177	76	76	-1
0	9.29955	95	95	-1
0	9.30995	14	14	-1
0	9.31085	60	60	-1
0	9.31109	64	64	-1
0	9.3721	23	23	-1
0	9.37413	92	92	-1
0	9.3818	96	96	-1
0	9.39656	8	8	-1
0	9.42846	65	65	-1
0	9.46997	49	49	-1
0	9.47516	60	6	447
0	9.49861	45	45	-1
0	9.50323	9	9	-1
0	9.51061	15	15	-1
0	9.52112	81	81	-1
0	9.52428	35	35	-1
0	9.52566	6	6	-1
0	9.55059	11	11	-1
0	9.56948	79	79	-1
0	9.5762	75	75	-1
0	9.60349	71	71	-1
0	9.60795	41	41	-1
0	9.67984	5	5	-1
0	9.68272	94	94	-1
0	9.69297	36	36	-1
0	9.71906	79	79	-1
0	9.7445	78	78	-1
0	9.7825	96	96	-1
0	9.79501	5	5	-1
0	9.82565	21	21	-1
0	9.82613	27	27	-1
0	9.84364	55	55	-1
0	9.84547	37	37	-1
0	9.86139	15	15	-1
0	9.86232	19	19	-1
0	9.9302	68	68	-1
0	9.94368	92	92	-1
0	9.9569	3	3	-1
0	9.97395	95	95	-1
0	9.98278	87	87	-1
0	9.98394	64	64	-1
0	9.98834	54	54	-1
0	9.99541	99	99	-1
0	10.052	47	47	-1
0	10.1011	22	22	-1
0	10.1108	37	94	477
0	10.1108	40	40	-1
0	10.1171	31	31	-1
0	10.1537	93	93	-1
0	10.1603	66	66	-1
0	10.1663	99	99	-1
0	10.1971	0	0	-1
0	10.2119	36	36	-1
0	10.2207	77	77	-1
0	10.2227	95	95	-1
0	10.2407	45	45	-1
0	10.2437	43	43	-1
0	10.3074	11	11	-1
0	10.3331	92	92	-1
0	10.3383	55	55	-1
0	10.3385	88	88	-1
0	10.3549	68	68	-1
0	10.3566	41	41	-1
0	10.3982	98	98	-1
0	10.4381	78	78	-1
0	10.4655	5	5	-1
0	10.4771	50	50	-1
0	10.5065	14	14	-1
0	10.5126	55	55	-1
0	10.5236	30	30	-1
0	10.5355	69	69	-1
0	10.5388	74	74	-1
0	10.5596	56	56	-1
0	10.6171	93	48	493
0	10.6186	96	96	-1
0	10.6255	32	32	-1
0	10.6315	54	49	486
0	10.6565	78	78	-1
0	10.6666	27	27	-1
2	10.6985	30	38
0	10.7205	74	74	-1
0	10.7247	91	91	-1
0	10.7552	14	14	-1
2	10.7604	49	66
0	10.7633	73	73	-1
0	10.8691	22	22	-1
0	10.9814	15	15	-1
0	10.9853	81	81	-1
0	11.0035	8	8	-1
0	11.008	41	41	-1
0	11.0367	9	9	-1
0	11.0636	95	95	-1
0	11.082	37	37	-1
0	11.0907	71	71	-1
0	11.0967	32	32	-1
0	11.118	15	15	-1
0	11.127	62	62	-1
0	11.1324	1	1	-1
0	11.1359	48	48	-1
0	11.173	38	38	-1
0	11.1735	60	60	-1
0	11.203	3	3	-1
0	11.2162	51	51	-1
0	11.2392	76	76	-1
0	11.257	87	87	-1
0	11.2647	58	58	-1
0	11.265	61	61	-1
0	11.2837	59	59	-1
0	11.2837	74	74	-1
0	11.3046	42	42	-1
0	11.3065	44	44	-1
0	11.3814	0	0	-1
0	11.4222	66	66	-1
0	11.4526	17	17	-1
0	11.4533	3	3	-1
0	11.4553	16	16	-1
0	11.4707	29	29	-1
0	11.5644	7	7	-1
0	11.5793	77	77	-1
0	11.6407	17	17	-1
0	11.6436	85	85	-1
0	11.6851	67	67	-1
0	11.6892	5	5	-1
0	11.6924	43	43	-1
0	11.6995	58	58	-1
0	11.7312	77	77	-1
0	11.7323	81	81	-1
2	11.7382	77	91
0	11.7483	11	11	-1
0	11.8124	74	74	-1
0	11.8347	16	16	-1
0	11.8355	13	13	-1
0	11.856	87	87	-1
0	11.8933	22	86	528
0	11.9127	53	53	-1
0	11.9295	5	5	-1
0	11.9934	9	9	-1
0	11.9972	69	69	-1
0	12.0069	44	44	-1
2	12.0391	23	48
0	12.0565	58	58	-1
0	12.0662	50	50	-1
0	12.0732	3	3	-1
0	12.0777	86	86	-1
0	12.0826	22	22	-1
0	12.1093	9	9	-1
0	12.1291	23	23	-1
0	12.136	65	65	-1
0	12.1388	18	18	-1
0	12.1645	34	34	-1
0	12.1848	93	93	-1
0	12.1987	31	31	-1
0	12.205	89	89	-1
2	12.2334	37	26
2	12.2453	72	55
0	12.2712	50	50	-1
0	12.3132	2	2	-1
0	12.3429	68	68	-1
0	12.3494	90	90	-1
0	12.3518	64	64	-1
0	12.3703	51	51	-1
0	12.3709	14	14	-1
0	12.4051	66	66	-1
0	12.4097	89	89	-1
0	12.4629	54	54	-1
0	12.4725	61	61	-1
2	12.4779	27	55
0	12.4896	54	49	603
0	12.5243	22	22	-1
0	12.5312	93	48	591
0	12.5348	60	6	543
0	12.5477	85	85	-1
0	12.604	12	12	-1
0	12.6431	54	66	605
0	12.7409	45	45	-1
0	12.7469	34	34	-1
0	12.7471	81	81	-1
0	12.7514	47	47	-1
2	12.7533	6	13
0	12.8083	3	3	-1
0	12.8402	12	12	-1
0	12.8406	49	49	-1
2	12.8584	54	66
0	12.8805	9	9	-1
0	12.9297	18	18	-1
0	12.9578	58	58	-1
0	12.9587	84	84	-1
0	12.9807	29	29	-1
0	13.0018	66	66	-1
0	13.0426	27	27	-1
0	13.0483	74	74	-1
0	13.0545	12	12	-1
0	13.1085	64	64	-1
0	13.1384	90	90	-1
0	13.1488	62	62	-1
0	13.1524	89	89	-1
0	13.1765	3	3	-1
0	13.179	1	1	-1
0	13.1795	89	89	-1
0	13.2003	24	24	-1
0	13.2447	77	77	-1
0	13.2611	18	18	-1
0	13.2726	69	69	-1
0	13.2778	26	26	-1
0	13.2896	72	72	-1
0	13.2899	49	66	618
0	13.2945	83	83	-1
0	13.3006	2	2	-1
0	13.3299	76	76	-1
0	13.3311	75	75	-1
0	13.3391	34	34	-1
0	13.3948	62	62	-1
0	13.4203	74	74	-1
0	13.4265	54	54	-1
0	13.4352	42	42	-1
0	13.45	63	63	-1
0	13.4509	54	66	649
0	13.4883	35	35	-1
0	13.4951	1	1	-1
0	13.5024	95	95	-1
0	13.5366	33	33	-1
